"ID", "Site", "Subsite", "Diver_Team", "Date", "Transect_Type", "Sampling_Period", "Transect_Number", "Transect_Heading", "Visibility", "Species_Code", "Species", "Abundance", "Size_cm", "Min_Range_cm", "Max_Range_cm", "Water_Col_Position", "Biomass_kg_m3", "Data_Entered_By", "Data_Read_By", "NOTES", "QAQC_Name", "QAQC_Date", "QAQC_Notes"
"AR-330_BARGE_2015-12-11_R_T3", 330, "BARGE", "CR_HL", "12/11/2015", "Radiating", "Winter", "3", "315", "35-40ft", "CEOC", "Bank Sea Bass", 10, 26, NA, NA, "R", NA, "CR", "", "Sailboat at 32-45 m", "", "", ""
"AR-330_INDRA_2015-09-08_R_T1", 330, "INDRA", "CR_JF", "9/8/2015", "Radiating", "Fall", "1", "70", "", "CARU", "Bar Jack", 10, 22, NA, NA, "", NA, "CR", "", "", "CR", "10/30/2015", "Changed ID, 1 error, these fish were forgotten"
"AR-330_INDRA_2015-09-08_R_T3", 330, "INDRA", "CR_JF", "9/8/2015", "Radiating", "Fall", "3", "70", "", "SPBA", "Barracuda", 3, 46, NA, NA, "R", NA, "CR", "", "", "CR", "10/30/2015", "Changed ID, 1 error"
"AR-345_RB1_2015-10-15_R_T3", 345, "RB1", "WF_ML", "10/15/2015", "Radiating", "Fall", "3", "150-180", "15 ft", "SPBA", "Barracuda", 1, 120, NA, NA, "", NA, "CR", "", "w/ scad and same scup from previous observations that were following us", "HL", "11/6/2015", "ID site changed, 1 error"
"AR-372_TRAINCARS_2016-03-11_R_T5", 372, "TRAINCARS", "HL_KJ", "3/11/2016", "Radiating", "Spring", "5", "330", "5 to 7", "CEST", "Black Sea Bass", 2, 45, NA, NA, "", NA, "CR", "", "65-70 m hit more structure", "", "", ""
"AR-372_NR1_2015-09-02_R_T1_T2_T3", 372, "NR1", "JF_JS", "9/2/2015", "Radiating", "Fall", "", "0", "", "CACR", "Blue Runner", 30, 40, NA, NA, "W", NA, "", "", "", "HL", "11/3/2015", "Left out of original entry, 1 error "
"AR-330_INDRA_2015-07-27_R_T1", 330, "INDRA", "HL_AP", "7/27/2015", "Radiating", "Fall", "1", "323", "", "PAUM", "Cubbyu ", 4, 5, NA, NA, "R", NA, "CR", "HL", "PRE SAMPLING PERIOD", "CR", "10/29/2015", "Changed ID, 1 error"
"AR-370_LIBERTYSHIP_2015-09-03_R_T1", 370, "LIBERTYSHIP ", "WF_JS", "9/3/2015", "Radiating", "Fall", "1", "", "", "PAUM", "Cubbyu ", 1, 5, NA, NA, "R", NA, "CR", "", "", "CR", "10/30/2015", "0 errors"
"AR-330_INDRA_2015-07-27_R_T1", 330, "INDRA", "HL_AP", "7/27/2015", "Radiating", "Fall", "1", "323", "", "DESP", "Decapterus Species- likely round or mackeral scad", 1000, 10, NA, NA, "W", NA, "CR", "HL", "PRE SAMPLING PERIOD", "CR", "10/29/2015", "Changed ID, 1 error"
"AR-345_RB2_2015-10-15_R_T1", 345, "RB2", "WF_ML", "10/15/2015", "Radiating", "Fall", "1", "90", "", "MYMI", "Gag", 1, 80, NA, NA, "", NA, "CR", "", "", "HL", "11/6/2015", "0 errors "
"AR-345_RB2_2015-10-15_R_T3", 345, "RB2", "WF_ML", "10/15/2015", "Radiating", "Fall", "3", "90", "", "SEDU", "Greater Amberjack", 6, 90, NA, NA, "", NA, "CR", "", "", "HL", "11/6/2015", "0 errors "
"AR-372_NR1_2015-09-02_R_T1_T2_T3", 372, "NR1", "JF_JS", "9/2/2015", "Radiating", "Fall", "", "0", "", "BACA", "Grey Triggerfish", 1, 25, NA, NA, "S", NA, "CR", "", "", "HL", "11/3/2015", "0 errors "
"AR-372_TRAINCARS_2015-09-03_R_T1", 372, "TRAINCARS", "HL_KJ", "9/3/2015", "Radiating", "Fall", "1", "305", "", "BACA", "Grey Triggerfish", 1, 15, NA, NA, "R", NA, "HL", "", "", "CR/HL", "10/30/2015", "0 errors"
