"Site","Subsite","Date","Transect_Type","Sampling_Period","Transect_Number","ID","Temp_avg","Temp_max","Temp_min","max_dep","min_dep","avg_dep","ver_rel_m","DRR","Structure_Type","Structure_Material","Reef_Type","Deployment_Year","Time_Since_Deployment_yrs","Depth_ft","DMF_Area_sqft","DMF_Notes","Longitude_DD","Latitude_DD","Table_ID","GIS_FID","NEAR_FID","Distance_to_HB","NR_FID","Distance_to_NR","AR_FID","Distance_to_AR","Distance_To_Nearest_Land_ft","Distance_To_Nearest_Land_miles","Notes","ABSA","ACAN","ARPR","BLEN","CAAR","CABAR","CACA","CACR","CANO","CAPE","CARA","CARU","CASU","CEOC","CEST","CHAE","CHFA","CHISC","CHOC","COGL","COPU","DEMA","DEPU","DESP","DIFO","DIHO","GERR","GNTH","GOBY","GRUN","HAAL","HAAU","HABI","HAPL","JDAM","LARH","MULL","MUMA","MYMI","MYPH","NOFI","OPMA","OPTA","PAAL","PADE","PALE","PAMA","PARA","PAUM","PORG","PSMA","RAEG","RYMA","SCMA","SEDU","SEFA","SERI","SESU","SPBA","SPHY","SPSP","STCA/STCH","STCH","STHI","STVA/STLE","SYFO","SYIN","SYSP","TAON","TETR","UNK","UPPA","WRAS"
330,"BARGE","2015-09-08","Radiating","Fall",1,"AR-330_BARGE_2015-09-08_R_T1",27.665,27.665,27.665,18.8995,18.4211,18.6517211111111,0.478400000000001,0.104128263723262,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333796850434554,0,0,0,0,0,0,10.2084267572495,0,0,0.161412711364654,0,0,0,0,0,0,0,0.199388491900305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2015-09-08","Radiating","Fall",2,"AR-330_BARGE_2015-09-08_R_T2",27.665,27.665,27.665,18.7511,18.4393,18.58601,0.311800000000002,0.0683240253436036,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2015-09-08","Radiating","Fall",3,"AR-330_BARGE_2015-09-08_R_T3",27.665,27.665,27.665,18.82072952,18.47560042,18.6563416406011,0.345129100000001,0.0589660418669526,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2015-09-08","Structural","Fall",0,"AR-330_BARGE_2015-09-08_S",27.665,27.665,27.665,18.83393044,18.30208323,18.5634535442908,0.531847209999999,0.0984115477528333,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972904163100459,0,0,0,0,0,0,0,0,328.070387480452,0.114518236613636,0.359557297547236,0,0,0,0,0,29.501375358136,0.603355808810882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016845044815209,4.57208826345209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2015-12-11","Radiating","Winter",1,"AR-330_BARGE_2015-12-11_R_T1",18.0785294117647,18.14,18.045,19.38966178,18.26411358,18.9056768940196,1.1255482,0.268677162966671,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223301570798437,0,0,0,0,0,0,0,0,0,0,0,0.0912628308281894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2015-12-11","Radiating","Winter",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49652436792794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136007095588538,0.356194192970657,0,0,0,0.51355513535776,0,0.151169151576135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03823322593403,0,0,0,0
330,"BARGE","2015-12-11","Structural","Winter",0,"AR-330_BARGE_2015-12-11_S",18.045,18.045,18.045,16.797451,16.42802949,16.6286032576378,0.369421509999999,0.0751489074750789,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,1.55717773288423,0,0.765851309249791,0,0,0,0,0,0,0,0,0,0.251452220386586,0,0,0,0,0,0,0,0,0,0,0.28924223324237,0,0,0,0,0,0,0.0107122732885659,0.272541217196827,0,0,0,0,0.151169151576135,0,0,0,0,0,0,0,0,0,0.0594722151689029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2016-04-26","Radiating","Spring",1,"AR-330_BARGE_2016-04-26_R_T1",16.9002058823529,16.903,16.808,18.8193686,18.52935673,18.7123182996078,0.290011870000001,0.0504355956481154,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0.528659078931586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2016-04-26","Radiating","Spring",2,"AR-330_BARGE_2016-04-26_R_T2",16.903,16.903,16.903,18.9070118,18.67443071,18.7941267915238,0.23258109,0.0511970503159284,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"BARGE","2016-04-26","Radiating","Spring",3,"AR-330_BARGE_2016-04-26_R_T3",16.903,16.903,16.903,18.93409409,18.6653806,18.8569361561818,0.26871349,0.0449992116800884,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
