Species_Code,Family,Genus,species,Common_Name,Snapper-Grouper,Pelagic-Demersal,Functional_Group,a,b,Trophic_level,SE,Vulnerability,Resilence,N_extent,S_extent,Swim_mode,Swim_type,Plankton?,Plankton type,Refs,Distrib_accuracy,Notes
ACCH,Acanthuridae,Acanthurus,chirurgus,Doctorfish,N/A,Demersal,Herbivore,0.02042,2.96,2.1,0.1,23,Medium,37,7,,,No,,,1,
ACCO,Acanthuridae,Acanthurus,coeruleus,Blue Tang,N/A,Demersal,Herbivore,0.02512,2.96,2,0,59,Medium,42,15,,,No,,,,
ANRO,Anguillidae,Anguilla,rostrata,American Eel,N/A,Demersal,Invertivore,0.00087,3.19,3.8,0.2,67,Medium,66,7N,anguilliform,"body, caudal",Yes,"Larvae, gastropods, oligochaetes, amphipodes, isopods, mysids",,1,
APPL,Apogon,Apogon,planifrons,Pale Cardinalfish,N/A,Demersal,Invertivore,0.01023,3.08,3.6,0.5,12,High,-9,,,,Yes,Zooplankton,,,
APPS,Apogonidae,Apogon,pseudomaculatus,Two Spot Cardinal Fish,N/A,Demersal,Invertivore,0.01259,3.08,3.4,0.5,11,High,43,34,,,Yes,Planktonic invertebrates,,1,NOAA has Belted Carinalfish- We have two spot cardinals. Belted found in S. Florida
SISI,Atherinopsidae,Menidia,menidia,Silversides,N/A,Pelagic,Planktivore,0.0049,3.09,3.2,0.1,13,High,60,25N,,,Yes,Planktonic copepods,,,Atlantic Silversides? Look up.
BACA,Balistidae,Balistes,capriscus,Grey Triggerfish,YES,Demersal,Invertivore,0.01862,2.93,4.1,0.2,32,Medium,58,37,balistiform,"median, pectoral fins",No,,,1,
OPTA,Batrachoididae,Opsanus,tau,Oyster Toadfish,N/A,Demersal,Benthic Carnivore,0.00933,3.07,3.8,0.4,50,Low,43,25N,,,No,,,,
APHI,Belonidae,Ablennes,hians,Flat Needlefish,N/A,Demersal,Piscivore,0.00098,3.04,4.5,0.8,40,Medium,38,37,,,No,,,1,
HYGE,Blenniidae,Hypleurochilus,geminatus,Crested Blenny,N/A,Demersal,Omnivore,0.00724,3,3.2,0.3,21,High,37,24N,,,No,,,,
